"범죄별(1)",범죄별(2),범죄별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"범죄별(1)",범죄별(2),범죄별(3),합계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,보복,보복,보복,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,생활비마련,유흥비마련,도박비마련,허영사치심,치부,기타,소계,소계,신고·고소,수사협조,증언,기타,소계,소계,소계,소계,소계,소계,소계,소계
"특별법범",산지관리법,소계,2785,113,16,-,-,-,4,93,2,1,-,-,-,1,-,1,2,13,1,389,476,1787
"특별법범",상표법,소계,3586,713,364,1,-,-,-,348,41,-,-,-,-,-,1,1,4,24,-,254,860,1688
"특별법범",석유및석유대체연료사업법,소계,711,194,25,-,-,-,-,169,3,-,-,-,-,-,-,-,-,8,-,109,255,142
"특별법범",선박안전법,소계,209,3,-,-,-,-,-,3,-,-,-,-,-,-,-,-,1,-,-,76,117,12
"특별법범",선박직원법,소계,219,12,4,-,-,-,-,8,-,-,-,-,-,-,-,-,-,3,-,80,100,24
"특별법범",성매매알선등행위의처벌에관한법률,소계,8836,3259,1700,17,2,1,1,1538,183,-,-,-,-,-,-,300,236,243,5,166,3010,1434
"특별법범",수도법,소계,195,13,4,-,-,-,-,9,-,-,-,-,-,-,-,4,-,7,-,56,86,29
"특별법범",수산업법,소계,1376,396,227,1,-,-,-,168,17,-,-,-,-,-,-,-,2,29,2,136,423,371
"특별법범",수산자원관리법,소계,1154,274,178,-,-,-,1,95,18,-,-,-,-,-,-,14,2,34,-,91,267,454
"특별법범",식품위생법,소계,8530,1922,1041,-,-,1,7,873,63,-,-,-,-,-,-,-,4,88,3,943,3091,2416
"특별법범",신용정보의이용및보호에관한법률,소계,113,8,1,-,-,-,-,7,-,-,-,-,-,-,-,5,-,1,-,-,16,83
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,713,169,50,32,1,2,3,81,16,3,-,-,-,3,-,50,62,45,1,25,215,127
"특별법범",아동·청소년의성보호에관한법률(성착취물등),소계,3000,239,45,7,6,4,-,177,23,1,1,-,-,-,-,1215,69,163,4,71,790,425
"특별법범",아동복지법,소계,7637,50,5,-,-,-,1,44,2,1,-,-,1,-,1326,64,13,2558,64,516,1806,1237
"특별법범",액화석유가스의안전관리및사업법,소계,140,5,1,-,-,-,-,4,-,-,-,-,-,-,-,-,-,5,-,41,62,27
"특별법범",약사법,소계,2334,532,154,-,-,-,2,376,20,-,-,-,-,-,-,-,2,40,-,296,746,698
"특별법범",여객자동차운수사업법,소계,1211,494,244,1,-,-,-,249,8,-,-,-,-,-,-,-,2,21,-,59,420,207
"특별법범",여신전문금융업법,소계,1388,267,71,10,-,-,-,186,14,-,-,-,-,-,-,22,6,216,3,54,349,457
"특별법범",영유아보육법,소계,276,74,16,-,-,-,-,58,2,-,-,-,-,-,-,-,-,8,-,35,119,38
"특별법범",예비군법,소계,1610,29,11,-,-,-,-,18,4,-,-,-,-,-,1,-,2,39,9,470,910,146
"특별법범",옥외광고물등의관리와옥외광고산업진흥에관한법률,소계,172,17,7,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,1,30,75,49
"특별법범",외국환거래법,소계,492,82,45,-,-,-,-,37,2,-,-,-,-,-,-,-,2,11,-,6,122,267
"특별법범",위험물안전관리법,소계,768,9,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,38,73,648
"특별법범",유사수신행위의규제에관한법률,소계,2844,646,75,-,-,2,-,569,58,-,-,-,-,-,-,-,1,4,7,27,851,1250
"특별법범",의료기기법,소계,423,40,11,-,-,-,-,29,-,-,-,-,-,-,-,-,-,1,-,79,195,108
"특별법범",의료법,소계,6052,1364,526,3,1,-,14,820,56,-,-,-,-,-,1,7,14,132,1,507,2424,1546
"특별법범",자동차관리법,소계,24966,967,313,1,-,17,1,635,81,-,-,-,-,-,1,136,26,913,11,4218,9810,8803
"특별법범",자동차손해배상보장법,소계,19108,40,14,1,-,-,-,25,7,1,1,-,-,-,1,35,17,361,2,2038,2438,14168
"특별법범",자본시장과금융투자업에관한법률,소계,756,152,71,-,-,-,-,81,7,1,1,-,-,-,-,-,-,34,-,12,124,426
"특별법범",저작권법,소계,7212,414,113,2,-,-,1,298,17,-,-,-,-,-,1,55,4,71,-,505,1220,4925
"특별법범",전자금융거래법,소계,15198,5308,2206,21,7,1,2,3071,217,-,-,-,-,-,1,7,89,211,-,2001,5824,1540
"특별법범",전파법,소계,410,9,6,-,-,-,-,3,2,-,-,-,-,-,-,1,-,1,-,41,22,334
"특별법범",정보통신망이용촉진및정보보호등에관한법률,소계,16229,591,240,14,2,3,5,327,77,10,-,-,-,10,60,229,34,1597,202,288,3315,9826
"특별법범",조세범처벌법,소계,4139,512,90,1,-,1,6,414,40,-,-,-,-,-,-,-,7,37,-,142,1185,2216
"특별법범",주민등록법,소계,2600,123,21,-,-,-,-,102,36,-,-,-,-,-,2,246,42,196,4,159,786,1006
"특별법범",주차장법,소계,145,11,4,-,-,-,-,7,-,-,-,-,-,-,-,-,-,1,-,14,81,38
"특별법범",주택법,소계,1921,867,434,-,-,-,-,433,49,-,-,-,-,-,-,-,-,7,-,95,461,442
"특별법범",직업안정법,소계,412,135,61,-,-,-,4,70,6,-,-,-,-,-,-,-,-,4,-,14,144,109
"특별법범",집회및시위에관한법률,소계,526,11,-,-,-,-,-,11,1,-,-,-,-,-,-,-,-,71,49,5,226,163
"특별법범",청소년보호법,소계,9711,540,163,5,-,-,6,366,29,-,-,-,-,-,1,95,17,196,-,3326,3493,2014
"특별법범",총포·도검·화약류등의안전관리에관한법률,소계,463,37,17,-,-,-,-,20,1,-,-,-,-,-,-,54,-,8,3,92,209,59
"특별법범",최저임금법,소계,462,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,18,442
"특별법범",축산물위생관리법,소계,342,41,13,-,-,-,1,27,1,-,-,-,-,-,-,-,-,3,-,39,69,189
"특별법범",출입국관리법,소계,3862,829,394,2,-,1,4,428,22,1,-,-,-,1,1,4,5,158,5,372,1699,766
"특별법범",통신비밀보호법,소계,367,2,1,-,-,-,-,1,-,-,-,-,-,-,12,4,-,11,2,14,114,208
"특별법범",특가법(도주차량),소계,9902,8,1,1,-,-,-,6,5,-,-,-,-,-,1,17,11,871,2,3430,2122,3435
"특별법범",특허법,소계,349,6,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1,-,2,48,292
"특별법범",폐기물관리법,소계,2930,369,100,-,-,-,1,268,15,-,-,-,-,-,-,-,-,37,1,280,1036,1192
"특별법범",풍속영업의규제에관한법률,소계,112,32,18,-,-,-,-,14,4,-,-,-,-,-,-,-,4,1,-,13,46,12
"특별법범",하천법,소계,277,47,14,-,-,-,-,33,5,-,-,-,-,-,-,-,-,-,1,35,136,53
"특별법범",학교보건법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",학원의설립운영및과외교습에관한법률,소계,442,62,23,-,-,-,-,39,-,-,-,-,-,-,-,-,-,14,-,100,206,60
"특별법범",화물자동차운수사업법,소계,2301,511,243,-,-,-,-,268,14,-,-,-,-,-,1,-,2,22,-,283,893,575
"특별법범",화재로인한재해보상과보험가입에관한법률,소계,21,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,15,4
"특별법범",화재예방·소방시설설치유지및안전관리에관한법률,소계,752,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,30,75,645
"특별법범",화학물질관리법,소계,929,17,8,-,-,-,-,9,2,-,-,-,-,-,-,45,27,80,13,41,339,365
"특별법범",기타특별법,소계,49502,6986,2650,33,5,2,42,4254,333,23,10,1,3,9,71,168,137,2293,109,10614,17109,11659
