"죄종별(1)",죄종별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"죄종별(1)",죄종별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외
"죄종별(1)",죄종별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계
"지능범죄",직무유기,730,166,54,39,32,17,12,12,6,10,4,-,4,7,-,4,3,2,2,10,16,4,-,2,5,1,3,2,13,10,5,1,2,7,-,1,8,5,2,-,3,3,3,-,-,6,2,-,1,3,-,-,1,-,6,3,2,1,2,9,3,3,-,-,2,2,1,2,1,4,2,2,5,1,2,2,-,4,9,-,5,1,18,1,4,4,14,122
"지능범죄",직권남용,724,181,60,16,26,14,22,8,11,6,2,2,5,5,1,2,8,2,9,5,27,5,4,3,5,1,4,5,5,13,7,7,1,13,-,2,11,3,-,-,-,6,3,-,1,8,3,-,-,-,-,-,2,-,5,4,-,1,4,6,6,-,2,3,2,3,-,4,1,1,-,5,3,1,-,5,1,9,2,-,4,3,10,2,4,7,13,89
"지능범죄",증수뢰,289,61,24,5,9,7,9,3,4,3,1,-,-,-,-,2,3,-,6,1,3,4,3,-,3,2,-,1,1,3,-,-,-,3,2,-,2,1,-,1,-,-,2,-,1,7,2,1,-,2,-,-,2,1,8,1,2,-,-,4,-,1,1,1,4,3,1,-,6,1,-,-,-,-,-,-,1,1,1,-,2,4,2,1,-,5,3,51
"지능범죄",통화,626,206,26,18,52,19,21,4,3,9,2,-,5,6,4,3,5,2,11,30,5,6,8,-,7,-,2,2,7,1,9,2,1,10,2,3,2,3,-,1,-,5,6,-,1,13,3,-,2,2,1,-,-,3,17,2,-,-,5,1,4,-,-,2,1,3,1,2,3,-,-,1,1,1,-,4,1,2,-,-,-,5,1,-,-,10,4,22
"지능범죄",문서·인장,11533,2360,873,455,613,363,345,209,68,234,11,36,91,27,26,63,124,27,185,154,254,86,195,39,78,42,22,24,159,25,95,45,75,133,30,46,80,28,17,10,20,65,65,13,21,203,39,6,24,45,39,20,34,63,148,99,26,18,62,173,22,25,28,72,58,69,45,55,88,22,21,22,23,17,22,97,59,139,28,31,70,76,242,29,19,157,310,757
"지능범죄",유가증권인지,84,34,4,4,4,2,1,-,-,5,-,1,-,-,-,-,-,-,3,2,2,-,1,1,-,-,1,-,-,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,2,5
"지능범죄",사기,347675,62317,31488,16730,19258,8613,10368,7492,1540,5990,224,1540,2243,1075,1154,2862,3262,692,6570,6094,8543,3763,5462,977,2795,1143,637,1495,4504,661,2961,1379,2809,5324,995,1472,4281,1064,252,487,564,2207,1769,245,649,5446,1348,135,524,947,776,518,978,1600,4977,1990,331,519,1932,4448,615,752,498,1517,1503,1919,1149,2279,3377,857,234,347,858,474,571,3597,1898,4592,642,625,2142,2424,7929,1006,1194,3818,13011,15428
"지능범죄",횡령,58889,16186,3918,2443,4245,1636,1285,748,200,1758,60,393,365,276,240,522,621,95,1226,1201,1495,568,946,211,763,209,82,205,847,81,809,191,437,613,147,290,744,203,24,26,73,235,197,20,76,695,148,15,75,72,138,82,122,303,767,187,31,57,209,525,67,81,81,254,231,566,254,293,258,84,19,46,100,34,69,314,235,561,58,71,280,213,870,128,214,650,422,2100
"지능범죄",배임,4092,932,337,102,168,106,94,85,30,78,4,17,37,14,16,41,45,8,62,87,68,29,45,32,42,22,20,10,66,7,22,21,54,56,16,21,41,17,2,5,5,16,21,3,11,34,14,-,7,4,20,4,13,17,63,19,7,6,11,51,11,9,14,17,11,27,7,17,14,8,3,2,10,4,3,26,20,34,10,21,21,20,78,12,16,68,81,343
"풍속범죄",소계,22632,4805,1461,918,1292,505,593,584,54,434,17,109,124,73,81,100,147,41,351,600,1860,203,347,54,412,68,29,77,247,43,262,118,142,188,49,70,314,65,22,18,40,114,260,11,217,299,56,5,25,25,45,33,58,101,256,112,30,30,84,279,31,38,15,77,76,80,80,66,115,40,19,17,113,29,18,130,84,175,19,28,84,94,292,39,57,215,629,1015
